id,name,auther,repo_name,address,like,estimated_testcodes,packages,all_javas,product_codes,test_codes,product_codes_with_Test,test_codes_without_Test,test_codes_witout_Test_but_test,suspect_test_codes,real_product_codes,real_test_codes,real_test_option_codes,not_availables,used_product_codes,used_test_codes,extends_testcodes,extended_testcodes,used junit,used testng,used extends,no open,no decode,no parse,all_available
190,Netflix/SimianArmy,Netflix,SimianArmy,https://api.github.com/repos/Netflix/SimianArmy,6714,57,34,216,159,57,0,0,0,57,159,53,4,0,81,6,15,15,0,55,95,0,0,0,0
19666202,igvteam/igv,igvteam,igv,https://api.github.com/repos/igvteam/igv,253,158,80,971,808,152,7,4,1,153,815,148,8,0,226,10,64,2,155,0,419,0,0,3,3
340,netty/netty,netty,netty,https://api.github.com/repos/netty/netty,19873,612,127,2346,1667,604,57,18,1,644,1685,608,52,1,876,119,243,96,475,0,1323,0,0,1,1
613,MovingBlocks/Terasology,MovingBlocks,Terasology,https://api.github.com/repos/MovingBlocks/Terasology,2984,132,311,2369,2232,120,5,12,0,120,2237,119,13,0,365,8,27,5,118,0,1020,0,0,1,1
934,xetorthio/jedis,xetorthio,jedis,https://api.github.com/repos/xetorthio/jedis,8389,67,10,184,117,53,0,14,0,53,117,50,17,0,68,10,25,2,52,0,72,0,0,0,0
937,grails/grails-core,grails,grails-core,https://api.github.com/repos/grails/grails-core,2710,42,128,495,453,31,0,11,0,31,453,24,18,0,45,1,0,0,2,0,243,0,0,0,0
1041,openzipkin/zipkin,openzipkin,zipkin,https://api.github.com/repos/openzipkin/zipkin,2378,159,44,456,283,117,1,55,34,151,284,144,26,2,135,23,4,2,165,0,124,0,0,4,4
1380,miltonio/milton2,miltonio,milton2,https://api.github.com/repos/miltonio/milton2,114,53,98,1200,1145,50,2,3,0,50,1147,50,3,0,77,1,0,0,0,0,518,0,0,0,0
1449,liquibase/liquibase,liquibase,liquibase,https://api.github.com/repos/liquibase/liquibase,1780,273,112,1111,836,232,2,41,0,232,838,200,73,0,185,16,86,10,135,0,749,0,0,0,0
1554,Graylog2/graylog2-server,Graylog2,graylog2-server,https://api.github.com/repos/Graylog2/graylog2-server,4786,473,449,2506,1983,449,33,41,10,459,2016,435,52,3,955,35,40,12,453,0,1029,0,0,8,8
1958,infinispan/infinispan,infinispan,infinispan,https://api.github.com/repos/infinispan/infinispan,717,2890,820,7472,4746,2110,3,613,69,2179,4749,1927,720,76,1209,765,592,296,227,1780,4305,0,0,243,243
2248,linkedin/indextank-engine,linkedin,indextank-engine,https://api.github.com/repos/linkedin/indextank-engine,878,27,35,360,333,20,0,7,0,20,333,18,9,0,43,10,17,3,1,0,173,0,0,0,0
2281,gradle/gradle,gradle,gradle,https://api.github.com/repos/gradle/gradle,9720,527,982,8795,7993,325,265,212,16,356,8243,212,338,2,194,141,9,5,216,32,3910,0,0,12,12
2315,SpoutDev/Spout,SpoutDev,Spout,https://api.github.com/repos/SpoutDev/Spout,479,102,170,1027,923,93,2,9,0,93,925,92,10,0,194,9,3,3,91,0,567,0,0,0,0
2554,dynjs/dynjs,dynjs,dynjs,https://api.github.com/repos/dynjs/dynjs,463,102,71,724,621,82,1,20,0,82,622,79,23,0,32,9,72,1,80,0,556,0,0,0,0
2739,hangum/TadpoleForDBTools,hangum,TadpoleForDBTools,https://api.github.com/repos/hangum/TadpoleForDBTools,457,33,325,1158,1095,26,30,7,0,37,1114,11,33,0,2,0,0,0,0,0,656,0,0,0,0
3006,wicketstuff/core,wicketstuff,core,https://api.github.com/repos/wicketstuff/core,184,432,550,2736,2288,277,14,157,2,279,2302,231,203,0,401,107,42,8,217,19,1865,0,0,2,2
3008,forcedotcom/SalesforceMobileSDK-Android,forcedotcom,SalesforceMobileSDK-Android,https://api.github.com/repos/forcedotcom/SalesforceMobileSDK-Android,275,100,55,289,189,92,1,7,0,92,190,69,30,0,41,12,29,12,78,0,168,0,0,0,0
3080,nutzam/nutz,nutzam,nutz,https://api.github.com/repos/nutzam/nutz,1871,169,285,1696,1188,186,2,320,2,189,1189,167,340,0,1,51,2,2,219,0,615,0,0,1,1
3083,floodlight/floodlight,floodlight,floodlight,https://api.github.com/repos/floodlight/floodlight,641,105,73,698,593,85,0,20,3,88,593,82,23,0,214,26,36,6,84,0,398,0,0,0,0
3160,killme2008/gecko,killme2008,gecko,https://api.github.com/repos/killme2008/gecko,138,104,41,256,152,52,0,52,30,52,152,18,23,33,34,3,2,1,16,0,33,0,181,0,181
3264,springside/springside4,springside,springside4,https://api.github.com/repos/springside/springside4,5157,75,45,200,123,72,2,3,1,73,125,71,4,0,97,3,1,1,73,0,41,0,0,0,0
